id,name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
175576,Private Apartment - Queen Anne Hill,within a few hours,100%,100%,t,Queen Anne,1,t,t,Queen Anne,47.63548171,-122.3584778,House,Entire home/apt,2,1,1,1,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Safety Card"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo"", ""24-Hour Check-in"", ""Hangers"", ""Hair Dryer"", ""Iron"", ""Laptop Friendly Workspace}",,$95.00,2,$15.00,3,7,181,97,10,10,10,10,10,10,f,moderate,t,f,1,3.33
4454295,Upper Queen Anne Craftsman House,within a few hours,100%,100%,f,Queen Anne,1,t,t,Queen Anne,47.63721408,-122.3600458,House,Entire home/apt,2,1,1,1,Real Bed,"{TV"", ""Cable TV"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Indoor Fireplace"", ""Heating"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$99.00,1,$0.00,3,1125,8,97,10,10,9,10,10,9,f,strict,f,f,1,0.98
3883392,Open Plan 2bdr/1bath in Queen Anne,within an hour,100%,100%,t,,1,t,t,,47.63554551,-122.3731708,Apartment,Entire home/apt,4,1,2,3,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Buzzer/Wireless Intercom"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$245.00,1,$0.00,3,14,13,98,10,10,10,10,10,10,f,moderate,f,f,1,0.92
8889257,Elegance in Historic Queen Anne,within an hour,100%,100%,f,Queen Anne,1,t,t,Queen Anne,47.62950681,-122.3676293,House,Entire home/apt,5,1,2,3,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Safety Card"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$165.00,4,$20.00,2,1125,3,100,10,10,9,9,10,10,f,strict,f,f,1,3
5680462,Stunning 6 bd in THE BEST Location!,within an hour,100%,100%,f,Queen Anne,1,t,t,Queen Anne,47.63920266,-122.3658627,House,Entire home/apt,16,3.5,6,15,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Indoor Fireplace"", ""Heating"", ""Family/Kid Friendly"", ""Suitable for Events"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Safety Card"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$461.00,8,$50.00,3,29,18,98,9,10,10,10,10,10,t,strict,f,f,1,2.65
8988178,"Lovely Queen Anne Cottage, 2 BR",within a few hours,100%,100%,f,,1,t,f,,47.63564979,-122.3728928,House,Entire home/apt,5,1,2,2,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Fire Extinguisher"", ""Essentials}",,$109.00,1,$0.00,3,15,1,80,8,10,8,8,8,8,f,strict,f,f,1,0.73
3245876,Park Life in Lower Queen Anne,within an hour,100%,100%,f,Queen Anne,1,t,t,Queen Anne,47.62620037,-122.3666019,Apartment,Private room,2,1,1,1,Real Bed,"{Internet"", ""Wireless Internet"", ""Pets Allowed"", ""Breakfast"", ""Pets live on this property"", ""Cat(s)"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Essentials"", ""Shampoo}",,$66.00,1,$25.00,1,10,84,95,10,9,10,10,10,9,f,moderate,f,f,1,4.55
4933447,"Private Garden Suite, Bay View",within an hour,100%,100%,t,Queen Anne,1,t,t,Queen Anne,47.64064588,-122.3724059,House,Private room,2,1,1,1,Real Bed,"{Wireless Internet"", ""Free Parking on Premises"", ""Heating"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$99.00,1,$0.00,2,14,45,98,10,10,10,10,10,10,t,moderate,f,f,1,4.58
7735464,Queen Anne Getaway Near Seattle!,N/A,N/A,N/A,f,Queen Anne,1,t,t,Queen Anne,47.63977587,-122.3722354,Apartment,Private room,2,2,1,1,Futon,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Pets live on this property"", ""Dog(s)"", ""Indoor Fireplace"", ""Buzzer/Wireless Intercom"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$200.00,1,$0.00,1,1125,0,,,,,,,,f,flexible,f,f,1,
6291829,Grand Craftsman Home on Queen Anne,N/A,N/A,N/A,f,Queen Anne,1,t,t,Queen Anne,47.63602478,-122.3586936,House,Entire home/apt,10,3.5,5,5,Real Bed,"{TV"", ""Cable TV"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Pets Allowed"", ""Pets live on this property"", ""Dog(s)"", ""Cat(s)"", ""Indoor Fireplace"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Shampoo}",,$700.00,1,$0.00,3,30,5,85,10,9,9,9,8,8,f,flexible,f,f,1,0.82
9218403,Queen Anne View One Bedroom,within a few hours,100%,100%,f,,1,t,t,,47.62794034,-122.3649587,Condominium,Entire home/apt,1,1,1,1,Real Bed,"{Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Pets Allowed"", ""Elevator in Building"", ""Heating"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Essentials"", ""Shampoo}",,$110.00,1,$0.00,1,1125,1,100,10,10,10,10,10,10,f,flexible,f,f,1,1
4125779,Cozy Queen Anne Finished Basement,within an hour,100%,100%,f,Queen Anne,1,t,f,Queen Anne,47.63637426,-122.3610334,House,Private room,3,1.5,1,2,Real Bed,"{Cable TV"", ""Internet"", ""Wireless Internet"", ""Free Parking on Premises"", ""Pets live on this property"", ""Heating"", ""Family/Kid Friendly"", ""Dryer"", ""Smoke Detector"", ""First Aid Kit"", ""Essentials"", ""Shampoo}",,$99.00,1,$10.00,1,1125,11,84,9,9,9,9,10,8,f,moderate,f,f,1,0.71
8942678,Lovely Queen Anne home,within a day,100%,100%,f,Queen Anne,1,t,f,Queen Anne,47.63563222,-122.3588809,House,Entire home/apt,8,2,4,4,Real Bed,"{TV"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Indoor Fireplace"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Safety Card"", ""Fire Extinguisher}",,$450.00,1,$0.00,4,1125,1,100,10,10,10,10,10,10,f,flexible,f,f,1,0.86
10106055,"Cozy Lower Level, Upper Queen Anne",N/A,N/A,N/A,f,Queen Anne,1,t,f,Queen Anne,47.63339396,-122.3719199,House,Private room,2,1,1,1,Real Bed,"{Internet"", ""Wireless Internet"", ""Air Conditioning"", ""Free Parking on Premises"", ""Pets Allowed"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Safety Card"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo"", ""Lock on Bedroom Door"", ""24-Hour Check-in"", ""Hangers"", ""Laptop Friendly Workspace}",,$75.00,1,$0.00,1,1125,0,,,,,,,,f,flexible,f,f,1,
6362362,Charming home on Queen Anne,N/A,N/A,N/A,f,Queen Anne,1,t,f,Queen Anne,47.63851671,-122.369581,House,Entire home/apt,5,2.5,3,3,Real Bed,"{TV"", ""Cable TV"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Indoor Fireplace"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Essentials}",,$600.00,1,$0.00,3,1125,1,100,10,10,10,10,10,10,f,moderate,f,f,1,0.18
3544550,VIEW-Monthly Rental Available,within a few hours,67%,100%,f,Queen Anne,2,t,t,Queen Anne,47.63139735,-122.3677669,House,Entire home/apt,8,2.5,3,5,Real Bed,"{TV"", ""Cable TV"", ""Wireless Internet"", ""Air Conditioning"", ""Wheelchair Accessible"", ""Kitchen"", ""Free Parking on Premises"", ""Indoor Fireplace"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Essentials"", ""Shampoo}",,$450.00,6,$50.00,4,1125,8,100,10,10,9,10,10,10,f,strict,f,f,2,1.3
9025039,Cute Bungalow-Close to Everything!,within a few hours,100%,100%,f,Queen Anne,1,t,t,Queen Anne,47.63875224,-122.3679727,House,Entire home/apt,5,1,2,3,Real Bed,"{Cable TV"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""First Aid Kit"", ""Essentials"", ""Shampoo"", ""Hangers}",,$150.00,1,$0.00,1,1125,0,,,,,,,,f,flexible,f,f,1,
3200646,Micro Gypsy Wagon on Queen Anne,within an hour,100%,100%,t,Queen Anne,5,t,t,Queen Anne,47.63926602,-122.3747258,Camper/RV,Private room,2,1,1,1,Real Bed,"{Wireless Internet"", ""Pets live on this property"", ""Dog(s)"", ""Heating"", ""Family/Kid Friendly"", ""Essentials}",,$45.00,1,$0.00,2,7,80,95,10,10,10,10,9,9,f,strict,t,t,5,4.38
8859380,STUNNING VIEW of Puget Sound,within an hour,100%,100%,f,Queen Anne,5,t,t,Queen Anne,47.62990712,-122.3689481,Apartment,Entire home/apt,6,2,3,3,Real Bed,"{TV"", ""Cable TV"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Indoor Fireplace"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Shampoo"", ""Hangers"", ""Hair Dryer"", ""Iron"", ""Laptop Friendly Workspace}",,$300.00,1,$0.00,2,1125,6,100,10,10,10,10,10,10,t,moderate,f,f,1,2.47
4520099,Open Airy Queen Anne Condo,within an hour,71%,100%,f,Queen Anne,1,t,t,Queen Anne,47.63981587,-122.3743385,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV"", ""Cable TV"", ""Wireless Internet"", ""Wheelchair Accessible"", ""Kitchen"", ""Indoor Fireplace"", ""Buzzer/Wireless Intercom"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Essentials"", ""Shampoo}",,$80.00,3,$50.00,2,1125,4,85,8,9,7,10,9,9,f,strict,f,f,1,0.33
2481869,Airy + Bright Queen Anne Cottage,within an hour,98%,100%,t,Queen Anne,6,t,t,Queen Anne,47.63900778,-122.3653201,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Essentials}",,$175.00,1,$0.00,2,365,38,96,10,10,10,10,10,10,f,strict,t,t,6,1.86
1110749,Queen Anne 3 bed near everything,within a few hours,97%,100%,f,Queen Anne,9,t,t,Queen Anne,47.63508504,-122.3644435,House,Entire home/apt,6,1.5,3,3,Real Bed,"{TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Fire Extinguisher}",,$325.00,6,$60.00,2,1125,68,92,9,9,10,9,10,9,f,strict,f,f,8,2.18
5978498,1914 Stunner View Ocean Mountain,within a day,60%,100%,f,Queen Anne,1,t,t,Queen Anne,47.64063323,-122.3727094,House,Entire home/apt,4,3,3,2,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""First Aid Kit"", ""Essentials"", ""Shampoo"", ""24-Hour Check-in"", ""Hangers"", ""Laptop Friendly Workspace}",,$175.00,1,$0.00,4,120,8,88,9,9,9,9,10,9,f,flexible,f,f,1,1.31
5021081,Seattle Queen Anne Beauty,within an hour,71%,100%,f,Queen Anne,1,t,t,Queen Anne,47.63812149,-122.37579,House,Entire home/apt,7,3.5,4,3,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Pets Allowed"", ""Indoor Fireplace"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Essentials"", ""Shampoo}",,$222.00,7,$75.00,2,1125,5,75,8,9,8,9,9,8,t,strict,f,f,1,0.99
1686930,The Hideaway- Queen Anne/downtown,within an hour,100%,100%,f,Queen Anne,1,t,f,Queen Anne,47.62981553,-122.3662123,Apartment,Entire home/apt,4,1,2,2,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Pets Allowed"", ""Pets live on this property"", ""Dog(s)"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$159.00,1,$0.00,1,1125,62,97,10,10,10,10,10,9,f,strict,f,f,1,2.27
7680289,QUEEN ANNE VIEW ONE! - SEATTLE,within an hour,100%,100%,f,Queen Anne,2,t,t,Queen Anne,47.63981019,-122.3738006,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Air Conditioning"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$125.00,2,$25.00,2,365,19,95,10,10,10,10,10,10,t,moderate,f,f,2,4.35
7207641,"URBAN SANCTUARY, 3BR, QUEEN ANNE",within a day,50%,N/A,f,Queen Anne,1,t,t,Queen Anne,47.63556952,-122.3616526,House,Entire home/apt,8,3,3,3,Real Bed,"{TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Dog(s)"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Essentials"", ""Shampoo}",,$348.00,6,$20.00,3,1125,5,96,10,10,10,10,10,9,f,strict,f,f,1,0.97
5062445,Cozy Homebase Close to Downtown,a few days or more,31%,100%,f,Queen Anne,1,t,f,Queen Anne,47.63497873,-122.3588694,House,Private room,1,1,1,1,Futon,"{TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""First Aid Kit"", ""Essentials}",,$45.00,1,$0.00,1,1125,7,97,9,8,10,10,10,10,f,flexible,f,f,1,0.9
8925878,VIEW QUEEN ANNE! - VINTAGE SEATTLE,within an hour,100%,100%,f,Queen Anne,2,t,t,Queen Anne,47.6393621,-122.3724026,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Essentials"", ""Shampoo}",,$150.00,2,$25.00,2,365,2,100,10,10,10,10,10,10,t,moderate,f,f,2,0.83
6389657,Cute little Seattle Studio!,within a few hours,100%,100%,t,Queen Anne,1,t,t,Queen Anne,47.63461628,-122.3580227,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo"", ""24-Hour Check-in"", ""Hangers"", ""Hair Dryer"", ""Iron"", ""Laptop Friendly Workspace}",,$80.00,1,$0.00,3,1125,11,98,10,10,10,10,10,10,f,flexible,f,f,1,1.98
4218733,Walker's Dream on Queen Anne Hill,within an hour,100%,100%,f,Queen Anne,1,t,t,Queen Anne,47.63800138,-122.3610048,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Essentials"", ""Shampoo"", ""Hangers"", ""Hair Dryer"", ""Iron"", ""Laptop Friendly Workspace}",,$110.00,2,$15.00,2,1125,71,90,10,8,10,10,10,9,f,moderate,f,f,1,4.7
2715623,"DARLING VINTAGE COTTAGE, QUEEN ANNE",within a few hours,100%,100%,f,Queen Anne,1,t,t,Queen Anne,47.63199585,-122.3716577,House,Entire home/apt,3,1,1,2,Real Bed,"{TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Indoor Fireplace"", ""Heating"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$148.00,2,$20.00,3,365,9,91,9,10,9,9,10,10,f,strict,t,t,1,0.46
1392332,Modern Eco-Friendly View Retreat,N/A,N/A,N/A,f,Queen Anne,1,t,t,Queen Anne,47.63868624,-122.3707999,House,Entire home/apt,4,1.5,2,2,Real Bed,"{TV"", ""Cable TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Pets Allowed"", ""Hot Tub"", ""Indoor Fireplace"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$350.00,4,$0.00,2,30,41,98,10,10,10,10,10,9,f,moderate,f,f,1,1.38
7308567,Beautiful 1 Bedrm in Queen Anne,within an hour,100%,100%,t,Queen Anne,1,t,t,Queen Anne,47.63365004,-122.3604497,Apartment,Entire home/apt,3,1.5,1,2,Real Bed,"{TV"", ""Cable TV"", ""Wireless Internet"", ""Kitchen"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""First Aid Kit"", ""Safety Card"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$150.00,1,$0.00,2,1125,18,98,10,10,10,10,10,10,f,moderate,f,f,1,3.35
6575380,One bedroom with Lounge,within a day,50%,100%,f,Queen Anne,1,t,t,Queen Anne,47.63430018,-122.3570598,House,Private room,5,1,1,1,Real Bed,"{Cable TV"", ""Wireless Internet"", ""Free Parking on Premises"", ""Hot Tub"", ""Heating"", ""Family/Kid Friendly"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Fire Extinguisher"", ""Essentials}",,$150.00,1,$0.00,1,1125,9,100,10,10,9,9,10,10,f,flexible,f,f,1,1.99
6004058,LOWER QUEEN ANNE STUDIO W/PATIO,within a day,50%,100%,f,Queen Anne,1,t,t,Queen Anne,47.62834387,-122.3664054,Apartment,Entire home/apt,2,1,0,1,Futon,"{TV"", ""Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Elevator in Building"", ""Buzzer/Wireless Intercom"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""First Aid Kit"", ""Fire Extinguisher"", ""Essentials"", ""Shampoo}",,$100.00,1,$0.00,1,1125,20,92,9,9,9,9,9,9,f,flexible,f,f,1,2.29
9550869,Queen Anne Craftsman,within a day,90%,100%,f,Queen Anne,1,t,t,Queen Anne,47.63539394,-122.3689911,Bungalow,Entire home/apt,10,3,4,4,Real Bed,"{Internet"", ""Wireless Internet"", ""Kitchen"", ""Free Parking on Premises"", ""Heating"", ""Washer"", ""Dryer"", ""Smoke Detector"", ""Carbon Monoxide Detector"", ""Safety Card"", ""Fire Extinguisher"", ""Essentials"", ""Hangers}",,$349.00,1,$0.00,1,1125,0,,,,,,,,f,strict,f,f,1,
